url,name,role,image,ind,true_count,almost_true_count,misleading_count,no_data_count,false_count,outrageous_count
/profiles/karbalaie.html,حسن کربلایی,مدیرعامل خبرگزاری دانشگاه آزاد اسلامی (آنا),https://factnameh.com/wp-content/uploads/2018/10/Karbalaei-225x212.jpg?t=1538414456,157,0,0,0,0,1,0
/profiles/ghazizadeh-hashemi.html,حسن قاضی‌زاده هاشمی,وزیر بهداشت، درمان و آموزش پزشکی,https://factnameh.com/wp-content/uploads/2017/06/Factnameh-Hassan-GhaziZadeh-Hashemi-225x225.jpg?t=1537801748,158,0,0,0,0,1,0
/profiles/firouzabadi.html,حسن فیروزآبادی,مشاور عالی نظامی رهبر جمهوری اسلامی,https://factnameh.com/wp-content/uploads/2018/02/Factnameh-hassan-firouzabadi-225x225.jpg?t=1537801917,159,0,0,0,0,0,1
/profiles/%d8%ad%d8%b3%d9%86-%d8%b9%d8%a7%d8%a8%d8%af%db%8c%d9%86%db%8c.html,حسن عابدینی,مجری و کارشناس صدا و سیما,https://factnameh.com/wp-content/uploads/2021/07/Factnameh-Profiles-Picture-hassanAbedini-225x225.png?t=1626462544,160,0,0,0,0,1,0
/profiles/rouhani.html,حسن روحانی,رییس‌جمهور پیشین,https://factnameh.com/wp-content/uploads/2017/05/Factnameh-Hassan-Rouhani-225x225.jpg?t=1537801461,161,12,8,9,7,23,2
/profiles/abdolmaleki.html,حجت‌الله عبدالملکی,معاون کمیته امداد امام خمینی,https://factnameh.com/wp-content/uploads/2020/04/hojjat-225x222.png?t=1585960787,162,0,0,0,0,1,1
/profiles/khosroshahi.html,حبیب خسروشاهی,مدیر رصدخانه ملی ایران,https://factnameh.com/wp-content/uploads/2021/07/Factnameh-Profiles-Picture-khosrowshahi-225x225.png?t=1625768963,163,0,0,0,0,1,0
/profiles/j-tashakori-hashemi.html,جعفر تشکری‌هاشمی,معاون پیشین شهردار تهران ,https://factnameh.com/wp-content/uploads/2021/05/Factnameh-Profiles-Picture-Tashakori-Jafar-225x225.png?t=1621545969,164,0,0,1,0,0,0
/profiles/koochakinejad.html,جبار کوچکی‌نژاد,نماینده رشت در مجلس,https://factnameh.com/wp-content/uploads/2020/02/Factnameh-jaber-koochaki-nejad-225x225.jpg?t=1582143213,165,0,0,0,0,1,0
/profiles/tahmineh-sahverdi.html,تهمینه شاوردی,عضو هیات مدیره انجمن مطالعات زنان,https://factnameh.com/wp-content/uploads/2021/04/Factnameh-Tahmineh-Shaverdi-225x225.jpg?t=1619533412,166,0,1,0,0,0,0
